seed,region,class_id,class_name,precision,recall,f1_score,support
44,full_body_both_mice,0,attack,0.7215703971119134,0.7995,0.75853889943074,2000
44,full_body_both_mice,1,investigation,0.6843817787418656,0.631,0.6566077003121749,2000
44,full_body_both_mice,2,mount,0.8273381294964028,0.92,0.8712121212121212,2000
44,full_body_both_mice,3,other,0.9265734265734266,0.795,0.8557588805166846,2000
44,head_neck_both_mice,0,attack,0.7387295081967213,0.721,0.729757085020243,2000
44,head_neck_both_mice,1,investigation,0.5883916703588835,0.664,0.6239135541461123,2000
44,head_neck_both_mice,2,mount,0.8139329805996472,0.923,0.8650421743205249,2000
44,head_neck_both_mice,3,other,0.9310571240971767,0.709,0.8049957422651149,2000
44,head_only_both_mice,0,attack,0.726442507264425,0.875,0.7938308006350646,2000
44,head_only_both_mice,1,investigation,0.649155722326454,0.519,0.5768268963601,2000
44,head_only_both_mice,2,mount,0.7718262336566849,0.915,0.8373369938229238,2000
44,head_only_both_mice,3,other,0.8797038864898211,0.713,0.7876277271471969,2000
44,no_tail_both_mice,0,attack,0.7301587301587301,0.713,0.7214773589678725,2000
44,no_tail_both_mice,1,investigation,0.6496565260058881,0.662,0.6557701832590391,2000
44,no_tail_both_mice,2,mount,0.7949050086355786,0.9205,0.8531047265987025,2000
44,no_tail_both_mice,3,other,0.9314825753101004,0.7885,0.8540481992959653,2000
44,trunk_tail_both_mice,0,attack,0.7199074074074074,0.7775,0.7475961538461539,2000
44,trunk_tail_both_mice,1,investigation,0.6723068245910886,0.596,0.6318579379803869,2000
44,trunk_tail_both_mice,2,mount,0.822544137618832,0.9085,0.8633879781420765,2000
44,trunk_tail_both_mice,3,other,0.8966630785791173,0.833,0.8636599274235355,2000
44,hips_tail_both_mice,0,attack,0.7262021589793916,0.74,0.7330361565131253,2000
44,hips_tail_both_mice,1,investigation,0.6239040147669589,0.676,0.6489080873530118,2000
44,hips_tail_both_mice,2,mount,0.8355720240852247,0.902,0.8675162298629479,2000
44,hips_tail_both_mice,3,other,0.9339853300733496,0.764,0.8404840484048405,2000
44,hips_only_both_mice,0,attack,0.71071953010279,0.726,0.7182785060598565,2000
44,hips_only_both_mice,1,investigation,0.624034749034749,0.6465,0.6350687622789783,2000
44,hips_only_both_mice,2,mount,0.8267681289167412,0.9235,0.872461029759093,2000
44,hips_only_both_mice,3,other,0.919442761962447,0.759,0.8315529991783073,2000
44,neck_only_both_mice,0,attack,0.7150308202939782,0.754,0.7339985397907033,2000
44,neck_only_both_mice,1,investigation,0.42208774583963693,0.4185,0.4202862164197841,2000
44,neck_only_both_mice,2,mount,0.5930232558139535,0.408,0.4834123222748815,2000
44,neck_only_both_mice,3,other,0.6706161137440758,0.849,0.7493380406001765,2000
44,tail_base_only_both_mice,0,attack,0.7146254458977408,0.601,0.6529060293318848,2000
44,tail_base_only_both_mice,1,investigation,0.490163248221013,0.5855,0.53360674413306,2000
44,tail_base_only_both_mice,2,mount,0.7031861375069871,0.629,0.6640274478754289,2000
44,tail_base_only_both_mice,3,other,0.6341121495327103,0.6785,0.6555555555555556,2000
44,resident_only_full_body,0,attack,0.9204339963833634,0.7635,0.8346542771248975,2000
44,resident_only_full_body,1,investigation,0.4616628922678745,0.7135,0.5605971321940679,2000
44,resident_only_full_body,2,mount,0.525891829689298,0.457,0.48903156768325307,2000
44,resident_only_full_body,3,other,0.6111111111111112,0.462,0.5261958997722096,2000
44,intruder_only_full_body,0,attack,0.7028546712802768,0.8125,0.7537105751391465,2000
44,intruder_only_full_body,1,investigation,0.39349112426035504,0.532,0.4523809523809524,2000
44,intruder_only_full_body,2,mount,0.7071713147410359,0.5325,0.607529948659441,2000
44,intruder_only_full_body,3,other,0.5250338294993234,0.388,0.44623346751006326,2000
55,full_body_both_mice,0,attack,0.6791230692575984,0.6815,0.6803094584477165,2000
55,full_body_both_mice,1,investigation,0.5970283656010806,0.663,0.6282871357498223,2000
55,full_body_both_mice,2,mount,0.8414195867026055,0.9365,0.8864174159962139,2000
55,full_body_both_mice,3,other,0.9527813712807245,0.7365,0.8307952622673435,2000
55,head_neck_both_mice,0,attack,0.7607017543859649,0.542,0.632992700729927,2000
55,head_neck_both_mice,1,investigation,0.5191160996141705,0.74,0.6101834673263244,2000
55,head_neck_both_mice,2,mount,0.8555606829718505,0.927,0.8898488120950324,2000
55,head_neck_both_mice,3,other,0.8882466281310212,0.6915,0.7776215912285634,2000
55,head_only_both_mice,0,attack,0.7426621160409557,0.544,0.627994227994228,2000
55,head_only_both_mice,1,investigation,0.5348230912476722,0.718,0.6130202774813234,2000
55,head_only_both_mice,2,mount,0.8534680753330272,0.929,0.8896337084031601,2000
55,head_only_both_mice,3,other,0.8840406455469217,0.7395,0.8053362374081132,2000
55,no_tail_both_mice,0,attack,0.6670264436049649,0.618,0.6415779911757072,2000
55,no_tail_both_mice,1,investigation,0.5685604442545921,0.6655,0.6132227597327805,2000
55,no_tail_both_mice,2,mount,0.8268032056990204,0.9285,0.8747056052755534,2000
55,no_tail_both_mice,3,other,0.9487179487179487,0.74,0.8314606741573034,2000
55,trunk_tail_both_mice,0,attack,0.6985796948974224,0.664,0.6808510638297872,2000
