region,degradation_mode,degradation_severity,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,macro_f1_mean,macro_f1_std,macro_f1_ci95,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95
no_tail_both_mice,jitter,0.05,5,0.7609247341450421,0.04320127659893494,0.03786758854647586,0.7596204482218937,0.040943925617753715,0.03588893317122101,0.7547821694679457,0.04931289546843339,0.04322465868242529,0.7644730414511312,0.040446721638759016,0.03545311466810053
hips_tail_both_mice,jitter,0.05,5,0.7608199476107351,0.020358087843657464,0.017844650777649438,0.752849412699291,0.03139464269787583,0.027518617639092954,0.7514849181583401,0.03626837584610469,0.0317906330995574,0.7625279965320173,0.020074379210888182,0.01759596919648859
head_neck_both_mice,jitter,0.05,5,0.7515052365133427,0.0369871652448435,0.032420679786735185,0.7493066241275462,0.03153310842633577,0.02763998820139801,0.746014541576809,0.04193155925304986,0.036754632221812876,0.7542563314968583,0.036653403507226165,0.03212812472476367
trunk_tail_both_mice,jitter,0.05,5,0.7568257087416563,0.022135826865301515,0.019402907734720264,0.7474532279801755,0.03777385950123177,0.03311024770597397,0.7451247620514476,0.03630429895060102,0.03182212108897512,0.7578523493932187,0.01874263980639325,0.01642864814047641
resident_only_full_body,jitter,0.05,5,0.46611162816178603,0.03625116252337511,0.03177554495693854,0.49741397585980673,0.028232551038687794,0.024746922093889373,0.41503447948144406,0.034563208547281156,0.03029598806223119,0.40694136258559316,0.03925962644048031,0.03441257984892753
intruder_only_full_body,jitter,0.05,5,0.4579222785049275,0.036709223608215186,0.03217705320057003,0.4789065974500241,0.031342873209177176,0.027473239681503843,0.4086108901333313,0.0370551397174493,0.03248026203899584,0.403578113654377,0.03849354526595059,0.033741080092575246
full_body_both_mice,jitter,0.1,5,0.7320491652866845,0.050009780401983145,0.043835505259319056,0.735732097604161,0.04593948565634869,0.040267734609357106,0.725070581058979,0.05349898147953083,0.04689392485157142,0.7339516264640121,0.04499640652156485,0.03944108930037007
no_tail_both_mice,jitter,0.1,5,0.7253877429891975,0.06729455554245256,0.05898627867775519,0.732701749650228,0.05602381573240407,0.049107039651938446,0.7219093157560742,0.0710923261046535,0.062315171348646524,0.7315730271604366,0.0603034791801718,0.05285833006083011
hips_tail_both_mice,jitter,0.1,5,0.7297404577518427,0.01905882176878458,0.0167057938500536,0.7295633093169764,0.024046039160805485,0.02107728263604776,0.7217767216634912,0.03251014023161457,0.02849639433824884,0.731694459776021,0.015275885005997124,0.013389903577632705
trunk_tail_both_mice,jitter,0.1,5,0.714534049737001,0.030378912692430583,0.026628291034219927,0.7144490356569785,0.030185399363738902,0.02645866912287724,0.705643034031583,0.03508914925529906,0.03075699541893405,0.7173302169078981,0.019626057251589866,0.01720299767278419
head_neck_both_mice,jitter,0.1,5,0.7040746021593147,0.06283721608611759,0.05507924838067766,0.7086948909580985,0.049996413981833125,0.04382378907548312,0.6958750207603217,0.07218475014579391,0.06327272323981455,0.7051634229310831,0.06617412146583591,0.05800417490798335
intruder_only_full_body,jitter,0.1,5,0.4195533432203602,0.04375188726558852,0.03835022007534722,0.44611026472006393,0.02421044872230065,0.021221393970664172,0.3556884125184595,0.03879237710731721,0.03400301775054103,0.35002651186845934,0.039384856379711716,0.03452234873044785
resident_only_full_body,jitter,0.1,5,0.3901729405583459,0.04675742108885855,0.04098468662684982,0.4268397848803661,0.021051245330979594,0.01845223010386941,0.29938841134196575,0.0321582195336937,0.028187922245778672,0.28696152496259575,0.04068067545520006,0.03565818422986634
full_body_both_mice,temporal_subsample,2.0,5,0.7808310621621184,0.02132062498033526,0.018688351777293426,0.7734146441811385,0.03148393563652253,0.027596886350737048,0.7725610519597023,0.03298767576980216,0.02891497269287213,0.7814660799052398,0.020020877006092282,0.017549072446275644
no_tail_both_mice,temporal_subsample,2.0,5,0.7702957022485358,0.034609011077336625,0.030336135749963425,0.7650771529748401,0.03679067288143242,0.03224844663632964,0.763044656384159,0.041634866035070155,0.03649456914989749,0.7726870640513784,0.03311013937975815,0.029022316779871722
hips_tail_both_mice,temporal_subsample,2.0,5,0.7671364685696022,0.018104605602325005,0.015869386502387915,0.7544845315822339,0.03318955454906123,0.029091927244938205,0.7561570925134442,0.03683135626869531,0.03228410719756376,0.7680000791713646,0.020115650185165604,0.017632144800449515
trunk_tail_both_mice,temporal_subsample,2.0,5,0.7669196471559042,0.025504230959527224,0.022355444102628165,0.7545570069005857,0.04417323227115026,0.03871954525651832,0.7539559768771049,0.042799928423243046,0.03751579135950676,0.7670902691402288,0.024227021229582264,0.02123592041377718
