seed,region,degradation_mode,degradation_severity,accuracy,balanced_accuracy,macro_f1,weighted_f1,recall_attack,recall_investigation,recall_mount,recall_other,f1_attack,f1_investigation,f1_mount,f1_other,support_attack,support_investigation,support_mount,support_other
11,no_tail_both_mice,clean,0.0,0.806554203539823,0.8146055194805195,0.8150865811685475,0.8063515441288428,0.7275,0.7415,0.890422077922078,0.899,0.7503867973182052,0.7262487757100882,0.8973415132924335,0.8863692383534632,2000,2000,1232,2000
11,no_tail_both_mice,jitter,0.02,0.8053097345132744,0.8132467532467533,0.8138641046704173,0.8051820479090652,0.7295,0.7385,0.887987012987013,0.897,0.7493579866461222,0.7245523669364728,0.8956201391731478,0.8859259259259259,2000,2000,1232,2000
11,no_tail_both_mice,jitter,0.05,0.8055862831858407,0.8131071428571429,0.8141644662579208,0.8057548298405823,0.7435,0.7315,0.8839285714285714,0.8935,0.7496849004285354,0.7238990598713508,0.8933552091878589,0.8897186955439382,2000,2000,1232,2000
11,no_tail_both_mice,jitter,0.1,0.797566371681416,0.8042987012987013,0.8072005220243205,0.798319161531328,0.797,0.6745,0.8676948051948052,0.878,0.746954076850984,0.699870298313878,0.8908333333333334,0.8911443795990865,2000,2000,1232,2000
11,no_tail_both_mice,dropout,0.05,0.8055862831858407,0.8135746753246753,0.8140923494780219,0.8053865444923297,0.7245,0.742,0.8887987012987013,0.899,0.749224405377456,0.7251404837527486,0.8960720130932897,0.8859324956885932,2000,2000,1232,2000
11,no_tail_both_mice,dropout,0.15,0.8032356194690266,0.8109821428571428,0.8116751556102971,0.8030789295703634,0.7175,0.744,0.8839285714285714,0.8985,0.7456482203169654,0.7232077764277035,0.8926229508196721,0.8852216748768473,2000,2000,1232,2000
11,no_tail_both_mice,dropout,0.3,0.801299778761062,0.8091542207792207,0.8098618217840133,0.8010823836042819,0.7065,0.747,0.8831168831168831,0.9,0.7405660377358491,0.7213906325446644,0.8925348646431501,0.8849557522123894,2000,2000,1232,2000
11,no_tail_both_mice,temporal_subsample,2.0,0.8062776548672567,0.8138100649350649,0.814973730290466,0.8064459274124061,0.731,0.7445,0.8847402597402597,0.895,0.7520576131687243,0.7251034818602387,0.8952772073921971,0.887456618740704,2000,2000,1232,2000
11,no_tail_both_mice,temporal_subsample,3.0,0.8003318584070797,0.8071883116883117,0.8088174586395931,0.8006451679595901,0.7255,0.7405,0.8717532467532467,0.891,0.7465912014406998,0.7187575831108954,0.8857731958762887,0.8841478541304887,2000,2000,1232,2000
11,no_tail_both_mice,temporal_subsample,5.0,0.7964601769911505,0.8029870129870129,0.8050299467192413,0.7969349579583802,0.726,0.7335,0.864448051948052,0.888,0.7448063606052834,0.7117903930131004,0.8812577575506827,0.8822652757078987,2000,2000,1232,2000
11,trunk_tail_both_mice,clean,0.0,0.802129424778761,0.8109172077922078,0.8086418300260566,0.8010164150690022,0.791,0.6745,0.8936688311688312,0.8845,0.7703920136352569,0.7018730489073881,0.8804478208716513,0.8818544366899302,2000,2000,1232,2000
11,trunk_tail_both_mice,jitter,0.02,0.8029590707964602,0.8128360389610391,0.8094910984269557,0.8014711907921714,0.7995,0.664,0.9058441558441559,0.882,0.7704167670440858,0.700976510952758,0.8850118953211736,0.881559220389805,2000,2000,1232,2000
11,trunk_tail_both_mice,jitter,0.05,0.7927267699115044,0.8031964285714286,0.7980924858151036,0.7896894910061775,0.8435,0.596,0.9017857142857143,0.8715,0.7636939791760978,0.6700393479482856,0.8772206869324911,0.8814159292035398,2000,2000,1232,2000
11,trunk_tail_both_mice,jitter,0.1,0.7428097345132744,0.7531623376623375,0.7452382517074325,0.7338604714434317,0.9035,0.42,0.8506493506493507,0.8385,0.7129611363188005,0.54421768707483,0.8523790158601058,0.8713951675759938,2000,2000,1232,2000
