model,region,n_seeds,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_ci95,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_ci95,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_ci95,weighted_f1_min,weighted_f1_max
logistic_regression,head_only_both_mice,5,0.7450636129002888,0.027694916037467043,0.024275664237242763,0.7085032032615026,0.7847068584070797,0.7426900565958692,0.03287946962147085,0.028820125821997254,0.6969320276497695,0.7888555194805195,0.740271456862691,0.035655455382055244,0.03125338462517061,0.6889559513269259,0.7888701503356143,0.7469082858704083,0.023891469003874847,0.02094179591979739,0.7168320204977882,0.781428321866364
random_forest,head_only_both_mice,5,0.7628967962296596,0.04659712679239118,0.04084418248107366,0.7099592312172394,0.8292311946902655,0.7586457808016694,0.05286242114037923,0.04633595511304308,0.6919873271889401,0.8344821428571427,0.759267819181445,0.049409702324619,0.04330951363318396,0.6956492571375642,0.8303700470166538,0.7665622521813746,0.044895013316974604,0.0393522142379853,0.7163887625312284,0.8301365503452065
logistic_regression,hips_only_both_mice,5,0.7566638065995689,0.017135173323231726,0.01501964164393895,0.737914967967385,0.7804203539823009,0.7591407950692034,0.021516821173401094,0.018860325322945203,0.731963133640553,0.7897337662337662,0.7564719010860881,0.024608064027638474,0.02156991915250302,0.725269457405193,0.790999498265706,0.7573250089869328,0.01669399440604911,0.014632931272707398,0.7372436789237395,0.7796535478272186
random_forest,hips_only_both_mice,5,0.772116238956888,0.03242993770022266,0.02842609371988217,0.7437390797903319,0.8111172566371682,0.7758574181296488,0.03627187140724349,0.031793697093989146,0.7467442396313364,0.8255876623376623,0.7723497723078959,0.034292752362660384,0.03005892276404225,0.7421542704297182,0.8142401218170103,0.7743954808208475,0.030398469759683903,0.02664543355949296,0.7477397054122129,0.8104997065489337
logistic_regression,neck_only_both_mice,5,0.6921402392892461,0.05410245598309327,0.04742289357653161,0.6249271986022131,0.7576050884955752,0.6882346205073077,0.05886647046470008,0.05159873638538478,0.6075760368663595,0.7511866883116883,0.6882093974111013,0.05624616053678092,0.04930193346597441,0.6079167171480672,0.7524032862087042,0.6964592761576991,0.049771480095067384,0.04362662583067256,0.636538741964767,0.7576171801292073
random_forest,neck_only_both_mice,5,0.7119684142909065,0.05246519883000518,0.04598777440647813,0.6445835760046593,0.7761338495575221,0.70648007781932,0.06496354050725556,0.05694305391224756,0.6146699308755761,0.7890535714285714,0.7067623686038484,0.05733143333375175,0.050253217015252385,0.6215037413507518,0.7736609032341926,0.7168619715783432,0.051003257491204324,0.04470632632310923,0.6517536776530429,0.7794900236606431
logistic_regression,tail_base_only_both_mice,5,0.6590719490697052,0.03540737813479807,0.03103593533046369,0.6129877693651719,0.7035398230088495,0.6617156765024386,0.04204409693449052,0.03685327584885964,0.6085743087557604,0.7194545454545453,0.6586964545389954,0.04337377912100977,0.03801879367381046,0.600136082465088,0.7149926442054655,0.6615454214965432,0.0317774207479765,0.027854137393298364,0.6213345691980173,0.7005479928807808
random_forest,tail_base_only_both_mice,5,0.6920015792218134,0.023471341600230837,0.020573538013764058,0.6749291784702549,0.729875,0.691370472923303,0.0350038513917247,0.03068222854498924,0.6583035714285714,0.729875,0.6812020170552244,0.031204348740769473,0.027351817631364437,0.6510414520437384,0.7269494369187073,0.6891525876682915,0.023699276039705335,0.02077333135898675,0.6684652425691656,0.7269494369187072
logistic_regression,resident_only_full_body,5,0.572273059233257,0.04811549997122882,0.04217509525316627,0.5020384391380315,0.6193307522123894,0.5827528052896587,0.04279781558230503,0.03751393937276924,0.5240835253456221,0.624939935064935,0.5749325745798469,0.046274609020377847,0.040561483189501604,0.5064895974794275,0.6170877466004258,0.5709604794411252,0.04884919721589691,0.04281820924344727,0.4961850890208155,0.6167559524996518
random_forest,resident_only_full_body,5,0.5968530131719044,0.05689508201029008,0.04987073821649013,0.5215492137449039,0.671183628318584,0.6116000954462458,0.056716601657776915,0.04971429328975004,0.5499625576036866,0.6909058441558441,0.6051932815606114,0.048001103849145785,0.042074822631072976,0.546759293266226,0.6711484079569634,0.597312783425431,0.051086694494991924,0.04477946208153396,0.5259937376101677,0.6607325819809841
logistic_regression,intruder_only_full_body,5,0.5691918826724358,0.047846540346324504,0.04193934174740662,0.5173267326732673,0.619,0.5769873352910024,0.04993439490763238,0.043769426960083846,0.5275904377880184,0.6361103896103896,0.5669919684316239,0.04392550952362757,0.0385024066945291,0.5178344972954625,0.613517501486151,0.5655625439332859,0.042088158215754824,0.03689189726473206,0.5192159989591237,0.6135175014861511
random_forest,intruder_only_full_body,5,0.578068384208885,0.07572026917497679,0.06637174230673337,0.4774315666860804,0.6436260623229462,0.5891453215530665,0.07655349993176758,0.06710210126707947,0.498883064516129,0.6599496753246754,0.5683568946801179,0.07939140945765737,0.06958963864372189,0.470182590548953,0.646543325608204,0.5642034645139723,0.08484866196815871,0.07437313137659596,0.45168665177513456,0.6467306783713075
